Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.6,,"(65.6, 0.78)","(65.57, 0.69)","(65.8, 0.64)","(65.9, 0.56)","(27.7, 1.15)","(26.53, 0.62)","(127.02, 1.8)","(37.82, 0.93)","(152.02, 0.91)","(127.59, 2.6)"
emt-dlfr,0.7,,"(58.36, 1.26)","(58.0, 1.23)","(58.13, 1.13)","(57.92, 1.24)","(20.65, 4.08)","(20.16, 3.79)","(140.78, 1.67)","(24.04, 8.37)","(165.62, 1.44)","(141.34, 1.91)"
emt-dlfr,0.8,,"(49.41, 5.04)","(39.07, 12.52)","(47.92, 6.4)","(37.6, 13.97)","(15.16, 0.24)","(15.16, 0.24)","(143.6, 2.89)","(9.46, 2.33)","(168.96, 4.18)","(143.59, 3.01)"
emt-dlfr,0.9,,"(54.18, 1.9)","(53.31, 2.83)","(53.51, 2.5)","(52.82, 3.38)","(15.79, 0.48)","(15.79, 0.48)","(144.91, 2.06)","(7.04, 0.79)","(171.87, 1.06)","(144.98, 2.18)"
emt-dlfr,1.0,,"(52.48, 3.51)","(50.12, 6.18)","(51.52, 4.33)","(49.35, 6.97)","(16.47, 0.86)","(16.47, 0.86)","(144.56, 3.2)","(7.95, 0.71)","(171.56, 4.75)","(144.16, 3.38)"
emt-dlfr,AUC,,66.4,65.1,66.9,65.7,30.8,28.4,116.6,41.2,139.4,116.7
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
