Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(61.86, 0.07)","(61.52, 0.26)","(61.33, 0.26)","(61.17, 0.46)","(24.83, 1.32)","(22.84, 1.08)","(138.13, 3.32)","(30.67, 0.99)","(-48.05, 1.92)","(137.87, 3.35)"
emt-dlfr,"(61.86, 0.07)","(61.52, 0.26)","(61.33, 0.26)","(61.17, 0.46)","(24.83, 1.32)","(22.84, 1.08)","(138.13, 3.32)","(30.67, 0.99)","(-48.05, 1.92)","(137.87, 3.35)"
emt-dlfr,"(60.69, 1.25)","(60.45, 1.39)","(60.26, 1.37)","(60.19, 1.55)","(23.71, 1.6)","(22.5, 1.51)","(138.95, 2.75)","(28.07, 0.84)","(-3.78, 9.4)","(138.9, 3.06)"
emt-dlfr,"(58.31, 1.85)","(56.57, 3.18)","(57.98, 3.01)","(56.43, 4.28)","(21.33, 2.59)","(20.99, 2.38)","(138.29, 5.36)","(24.2, 2.83)","(158.07, 7.57)","(138.75, 5.3)"
emt-dlfr,"(59.87, 2.43)","(59.79, 2.44)","(59.7, 2.54)","(59.78, 2.54)","(23.37, 0.66)","(22.4, 0.56)","(138.97, 5.05)","(26.7, 3.62)","(-39.76, 4.15)","(138.74, 4.8)"
emt-dlfr,"(60.35, 0.36)","(59.78, 0.67)","(59.86, 0.72)","(59.47, 1.05)","(23.86, 0.95)","(21.91, 0.76)","(143.45, 4.05)","(28.93, 0.63)","(-22.26, 10.85)","(143.1, 5.11)"
emt-dlfr,"(59.14, 4.0)","(58.26, 4.83)","(58.59, 4.35)","(57.87, 5.17)","(21.58, 3.3)","(20.41, 2.48)","(144.82, 4.07)","(22.47, 10.33)","(27.32, 32.61)","(144.92, 4.5)"
emt-dlfr,"(58.21, 3.24)","(58.0, 3.36)","(58.08, 3.66)","(58.02, 3.77)","(22.55, 3.9)","(21.67, 3.27)","(139.33, 1.23)","(21.95, 8.05)","(33.83, 18.64)","(139.07, 1.46)"
emt-dlfr,"(58.26, 4.02)","(57.45, 5.11)","(57.67, 4.67)","(57.04, 5.72)","(20.85, 1.26)","(20.21, 0.9)","(140.08, 4.05)","(22.15, 4.61)","(-17.01, 9.98)","(140.19, 3.44)"
emt-dlfr,"(59.47, 1.86)","(58.8, 2.96)","(59.75, 1.51)","(59.17, 2.65)","(20.65, 2.46)","(20.21, 2.16)","(135.12, 3.35)","(21.45, 9.42)","(-14.75, 21.03)","(134.64, 3.31)"
